F,zF,LT,VB,qF,y_D,x_B,residual_norm,success
0.8,0.3,2.7604158,3.5269190000000004,1.0,0.31310839328178025,4.2415568553843565e-05,5.010212546313724e-09,True
0.8,0.3,2.8686674,2.8856610000000003,1.0,0.9997922066952325,0.2848123989233086,2.741970726868369e-15,True
0.8,0.3,2.8686674,3.0459755000000004,1.0,0.9992793999643362,0.10088418810851056,3.785545952858838e-08,True
0.8,0.3,2.8686674,3.20629,1.0,0.7099999894541257,0.0006227760278200555,1.2010360007437602e-15,True
0.8,0.3,2.8686674,3.3666045,1.0,0.4818604391676244,0.00021172805321347315,6.832980907457049e-08,True
0.8,0.3,2.8686674,3.5269190000000004,1.0,0.3645854241833192,7.807256978563131e-05,6.798507188249982e-09,True
0.8,0.3,2.9769190000000005,2.8856610000000003,1.0,0.9999076200606519,0.3716651851556956,2.6410320441176333e-15,True
0.8,0.3,2.9769190000000005,3.0459755000000004,1.0,0.9997097574073165,0.23389437965766777,7.958522683164653e-09,True
0.8,0.3,2.9769190000000005,3.20629,1.0,0.9987293654325278,0.019137522430794984,1.913020176988546e-08,True
0.8,0.3,2.9769190000000005,3.3666045,1.0,0.615469731705222,0.00039084620598269155,1.2883363220666127e-15,True
0.8,0.3,2.9769190000000005,3.5269190000000004,1.0,0.4362991973034379,0.0001419028605384557,2.0983332920344555e-08,True
0.8,0.38,2.435661,2.8856610000000003,1.0,0.6750471114367251,0.0006537372209673959,3.556782602279767e-09,True
0.8,0.38,2.435661,3.0459755000000004,1.0,0.4980445511017882,0.00019079369763828934,1.0886402857790397e-09,True
0.8,0.38,2.435661,3.20629,1.0,0.39448062754155405,6.233172889534299e-05,1.0595494027913321e-08,True
0.8,0.38,2.435661,3.3666045,1.0,0.3265537516795581,2.1951003197859804e-05,4.856746622786688e-08,True
0.8,0.38,2.435661,3.5269190000000004,1.0,0.27857975793498113,8.195273421301229e-06,4.1088621546197984e-09,True
0.8,0.38,2.5439126,2.8856610000000003,1.0,0.8875786088399814,0.0014651515698480143,2.2766437448335314e-08,True
0.8,0.38,2.5439126,3.0459755000000004,1.0,0.6052712439358089,0.000388616758569999,6.797636720179412e-08,True
0.8,0.38,2.5439126,3.20629,1.0,0.45892714698876147,0.00012378948880464418,5.2909788947628126e-09,True
0.8,0.38,2.5439126,3.3666045,1.0,0.3695198233605893,4.308609894125079e-05,5.890063356859238e-09,True
0.8,0.38,2.5439126,3.5269190000000004,1.0,0.30925810439193396,1.5986315228596006e-05,3.297235276375592e-08,True
0.8,0.38,2.6521642000000005,2.8856610000000003,1.0,0.9990122705254485,0.12486042739312599,2.6749988874197978e-15,True
0.8,0.38,2.6521642000000005,3.0459755000000004,1.0,0.7711174220281728,0.0008007253240591453,3.301610687845715e-15,True
0.8,0.38,2.6521642000000005,3.20629,1.0,0.548503855240025,0.00024358358258838185,1.915501023455148e-08,True
0.8,0.38,2.6521642000000005,3.3666045,1.0,0.42549789318603715,8.330536851488829e-05,7.911124003012724e-09,True
0.8,0.38,2.6521642000000005,3.5269190000000004,1.0,0.3475287418729257,3.064073756514982e-05,2.2765063204061363e-08,True
0.8,0.38,2.7604158,2.8856610000000003,1.0,0.9996188775122589,0.26498890228302424,3.531629558572232e-15,True
0.8,0.38,2.7604158,3.0459755000000004,1.0,0.998498368707914,0.036678850776197834,9.242941494526576e-09,True
0.8,0.38,2.7604158,3.20629,1.0,0.6814260670674439,0.00047920114026329047,1.7763568394002505e-15,True
0.8,0.38,2.7604158,3.3666045,1.0,0.5014430813771443,0.00015927519717673637,1.950792552210235e-09,True
0.8,0.38,2.7604158,3.5269190000000004,1.0,0.3966037764440978,5.784178562546309e-05,3.773340437283783e-09,True
0.8,0.38,2.8686674,2.8856610000000003,1.0,0.9998360398695072,0.36654768884850686,1.8115899391705795e-13,True
0.8,0.38,2.8686674,3.0459755000000004,1.0,0.9994808039458245,0.20360625175709215,6.962664345029168e-09,True
0.8,0.38,2.8686674,3.20629,1.0,0.8990620395425226,0.0009869354521992795,1.7407420364898046e-15,True
0.8,0.38,2.8686674,3.3666045,1.0,0.6103351995775392,0.00030283744163426814,8.097854599623859e-09,True
0.8,0.38,2.8686674,3.5269190000000004,1.0,0.46180614052745445,0.00010787236794125758,5.25542825107362e-08,True
0.8,0.38,2.9769190000000005,2.8856610000000003,1.0,0.9999250803813801,0.4434755850555551,2.6410320441176333e-15,True
0.8,0.38,2.9769190000000005,3.0459755000000004,1.0,0.9997739232076868,0.32144610394996326,7.837440011947887e-08,True
